paragraph_arr,freq,title,rank,meaning,example,sentence,rating
SOLVING,53,45,2385,"Find an answer to, explanation for, or means of effectively dealing with (a problem or mystery)",the policy could solve the town's housing crisis,"I recently got in question on Quora asking something on lines of What exact skills do companies look for when they are recruiting a Data Scientist ? and is there a definition of Data Scientist profile ? As is pretty obvious, there is no one profile, as every company is solving its own set of problems",1
ACCURATE,53,45,2385,"(of information, measurements, statistics, etc.) correct in all details; exact.",accurate information about the illness is essential,"With the emergence of the powerful forecasting methods based on Machine Learning, future predictions have become more accurate",1
PANDAS,58,41,2378,"A large bearlike mammal with characteristic black and white markings, native to certain mountain forests in China. It feeds almost entirely on bamboo and has become increasingly rare.","Feeding mostly on bamboo, fruits, and insects, the pandas are native to mountains in China and the Himalaya - where they are better known for skittering up trees than standing at attention.",Pandas is a good example of using both projects,1
OPTIMIZATION,56,41,2296,The action of making the best or most effective use of a situation or resource.,companies interested in the optimization of the business,"Where traditional planning is done in discrete, human-directed sessions, DS techniques should result in planning and optimization steps that are embedded into software and run as part of automated processes",1
CRUCIAL,49,46,2254,"Decisive or critical, especially in the success or failure of something.",negotiations were at a crucial stage,"Because our training wires us to seek out patterns, it’s crucial to remember the simple maxim that correlation does not imply causation",1
DEPENDS,50,45,2250,Be controlled or determined by.,differences in earnings depended on a wide variety of factors,The fate of science—and sleeping well at night—depends on deterring the danger,1
NOTEBOOKS,53,38,2014,A small book with blank or ruled pages for writing notes in.,he copied the number into his notebook,"Unlike similar systems, RCloud shared notebooks are not static webpages, but rather code that is being executed “live”",1
TYPICAL,49,40,1960,Having the distinctive qualities of a particular type of person or thing.,a typical day,"When I am asked, I typically recommend that people only post on their GitHub completed projects that they are proud of",1
GRAPH,49,37,1813,Plot or trace on a graph.,"A frequency ranking of student graphing errors indicates that graphing problems are related to a combination of factors involving the software, the student, and the instruction.",The graph on the right presents an expanded view of recent history,1
ASSUMPTIONS,46,39,1794,"A thing that is accepted as true or as certain to happen, without proof.",they made certain assumptions about the market,Why would we want to transform our data to fit the Normal Distribution? Great question! You may want to use a parametric model — a model that makes assumptions of the data — rather than a non-parametric model,1
OUTCOME,48,37,1776,The way a thing turns out; a consequence.,it is the outcome of the vote that counts,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",1
ASSUME,44,40,1760,"Suppose to be the case, without proof.",it is reasonable to assume that such changes have significant social effects,But let’s for the moment assume that you have a somewhat right dataset,1
JOURNEY,44,39,1716,Travel somewhere.,they journeyed south,The journey of a Data Scientist is full of twists and turns that will mold you,1
TRANSFORMATION,49,35,1715,A thorough or dramatic change in form or appearance.,its landscape has undergone a radical transformation,"There are fairly well-functioning machine learning algorithms, which account for potential phonetic transformations, spelling mistakes and allow for a clustering of those first and surnames",1
OUTCOMES,46,37,1702,The way a thing turns out; a consequence.,it is the outcome of the vote that counts,Data science has already been invaluable in improving the outcomes of epidemics and predicting patient behaviour,1
BIAS,50,34,1700,Cause to feel or show inclination or prejudice for or against someone or something.,readers said the paper was biased toward the conservatives,"The downside to relational systems is that these databases are relatively static and biased heavily towards structured data, represent data in non-intuitive and non-natural ways, and incur significant processing overhead and are therefore less performant",1
METRIC,47,36,1692,A system or standard of measurement.,the levels of branching are arbitrary and no precise metric is applied to distance between the nodes,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",1
FUNDAMENTAL,42,40,1680,A central or primary rule or principle on which something is based.,two courses cover the fundamentals of microbiology,Proving your mettle requires showing you understand the fundamentals of statistics,1
TEND,44,38,1672,Regularly or frequently behave in a particular way or have a certain characteristic.,written language tends to be formal,This separation often extended to the very systems where the tools were located (e,1
NOTEBOOK,55,30,1650,A small book with blank or ruled pages for writing notes in.,he copied the number into his notebook,"In addition, all of the elements of an RCloud notebook are stored on a Github (or Git) server; it is a core design principle of RCloud that no command should be run without being saved, even if it gets deleted later",1
FAMILIAR,43,38,1634,"A demon supposedly attending and obeying a witch, often said to assume the form of an animal.",her familiars were her two little griffons that nested in her skirts,"If you are familiar with Python, you can skip this part",1
MOREOVER,46,35,1610,As a further matter; besides.,"moreover, glass is electrically insulating","Moreover, it may appear cost-effective if the investment in data infrastructure and analytics teams are ignored",1
DEPENDING,41,39,1599,Be controlled or determined by.,differences in earnings depended on a wide variety of factors,"Depending on your goal and availability, you may choose one or more of the three methods to get interviews",1
INTERPRET,41,37,1517,"Explain the meaning of (information, words, or actions)",the evidence is difficult to interpret,"Though these 3 types of experts are on the same team, there might be a gap in correctly understanding the problem or interpreting the results after integrating their expertise",1
NUMEROUS,43,34,1462,Great in number; many.,he has attended numerous meetings and social events,"Thinking again of my car problem, perhaps I had been to one particular garage numerous times in the past, and trusted their diagnosis slightly more than others",1
TRULY,40,36,1440,In a truthful way.,he speaks truly,I have been somewhat surprised at how little truly introductory information exists on machine learning and data science topics,1
DEPLOYMENT,43,33,1419,The movement of troops or equipment to a place or position for military action.,the authorities announced deployment of extra security forces in towns and cities to prevent violence,"The process of accelerating the data analysis insights by reducing the time between coding and deployment, now called DevOps, has become more relevant with the emerging role of data science teams in large organizations",1
PRACTITIONERS,39,35,1365,"A person actively engaged in an art, discipline, or profession, especially medicine.",patients are treated by skilled practitioners,"Practitioners of Big Data have seen the creation and proliferation of specific technologies needed for high-scale data storage, processing capabilities, and analytics of enormous amounts of data",1
STATISTICIANS,60,22,1320,An expert in the preparation and analysis of statistics.,At Cambridge more statisticians were taken on within Mathematics and a Statistical Laboratory was set up within the Mathematics Faculty in 1949.,"The data are notoriously noisy, and furthermore tend to go through many stages of preprocessing before the statisticians even get to see them",1
APACHE,42,31,1302,"A violent troublemaker, originally in Paris.",Vintage apache depicted a tough guy throwing a woman around the stage.,Apache Spark is an engine for large-scale data processing,1
STAKEHOLDERS,40,32,1280,(in gambling) an independent party with whom each of those who make a wager deposits the money or counters wagered.,"The statute permits a gambling ‘loser’ or other permitted plaintiff to recover from ‘a winner, depositary or stakeholder’ money lost by a ‘wager, bet or stake.’",Data science continues to generate excitement and yet real-world results can often disappoint business stakeholders,1
ALGEBRA,42,30,1260,The part of mathematics in which letters and other general symbols are used to represent numbers and quantities in formulae and equations.,"courses in algebra, geometry, and Newtonian physics",Linear algebra is the most important math skill in machine learning,1
COLLABORATION,35,35,1225,The action of working with someone to produce or create something.,he wrote on art and architecture in collaboration with John Betjeman,"The reliance on modeling might sometimes be a little bit too much, but there is a stronger collaboration between mathematicians, classical epidemiologists and field epidemiologists these days",1
SMALLER,36,34,1224,To a small extent.,he reminded me a little of my parents,There are lots of smaller problems that I love as well,1
MASSIVE,36,33,1188,Large and heavy or solid.,a massive rampart of stone,Hadoop emerged as an untraditional tool to solve what was thought to be unsolvable by providing an open source software framework for the parallel processing of massive amounts of data,1
WORKFLOW,38,31,1178,"The sequence of industrial, administrative, or other processes through which a piece of work passes from initiation to completion.",Information storage operations can involve complex or repetitive user tasks and system processes - in workflows that migrate across multiple platforms.,We don’t explicitly create a directed acyclic graph (DAG) to connect the steps in an ML workflow (e,1
DEEPER,35,33,1155,Far down or in; deeply.,he travelled deep into the forest,Let’s dive a bit deeper into what a data scientist actually does,1
AWARE,37,31,1147,Having knowledge or perception of a situation or fact.,most people are aware of the dangers of sunbathing,"Anyone who has been involved in genealogy, who has been trying to track down distant relatives from the 16th century is well aware of one of the key challenges: surnames change overtime",1
EXPENSIVE,35,32,1120,Costing a lot of money.,keeping a horse is expensive,"We are in the energy market, and we track thousands of seafaring large vessels containing expensive cargoes with precision and in real time, and as a senior data engineer and a member of the core team, I have already worked on creating a scalable and easily accessible data pipeline using Amazon S3, Redis, Python and AWS Lambda (the upstream system mentioned earlier) to make this process smooth and easy",1
LEVERAGE,36,31,1116,"Use borrowed capital for (an investment), expecting the profits made to be greater than the interest payable.","without clear legal title to their assets, they own property that cannot be leveraged as collateral for loans",RCloud was specifically designed to leverage existing systems and standards so communication between most parts of the system happens through HTTP,1
ANALYTICAL,38,29,1102,Relating to or using analysis or logical reasoning.,analytical methods,This is not just another book on communication: it’s written in an analytical language,1
FACEBOOK,34,32,1088,Spend time using the social media application Facebook.,"If the boss knew how much time you spent shopping online or Facebooking, do you think he or she would be happy?","This post introduces ten largest Facebook groups in big data, data science and machine learning",1
HYPOTHESIS,40,27,1080,A supposition or proposed explanation made on the basis of limited evidence as a starting point for further investigation.,professional astronomers attacked him for popularizing an unconfirmed hypothesis,"Whether prediction or hypothesis, one of these 2 will be the most interesting piece of the holistic predictive science puzzle",1
DETECTION,34,31,1054,The action or process of identifying the presence of something concealed.,the early detection of fetal abnormalities,"My parents need a new doorbell, one that has a camera that always runs, has decent motion detection and sends alerts over multiple different channels of communication",1
CAPTURE,35,30,1050,Take into one's possession or control by force.,"the Russians captured 13,000 men",Big Data teaches you to build big data systems using an architecture that takes advantage of clustered hardware along with new tools designed specifically to capture and analyze web-scale data,1
CANDIDATES,35,30,1050,A person who applies for a job or is nominated for election.,candidates applying for this position should be computer-literate,Interviews are designed to weed out candidates that aren’t qualified to do a job,1
COMPLICATED,32,32,1024,Consisting of many interconnecting parts or elements; intricate.,a complicated stereo system,"To make matters even more complicated, we have to decide how to set the threshold probability for our model",1
CONTRIBUTE,33,31,1023,"Give (something, especially money) in order to help achieve or provide something.",she contributed to a private pension,Because looking at the potential is just too attractive: online genealogy platforms could contribute to the creation of a fully personalized immersion in history,1
PLOT,35,29,1015,Secretly make plans to carry out (an illegal or harmful action),the two men are serving sentences for plotting a bomb campaign,"The researchers are distributing an R package called eSIR that generates the models, ggplot2 objects, and summary statistics",1
PERSPECTIVE,33,30,990,"The art of drawing solid objects on a two-dimensional surface so as to give the right impression of their height, width, depth, and position in relation to each other when viewed from a particular point.",a perspective drawing,"From an application perspective, we're still at the very beginning of meaningful automation",1
RELY,33,30,990,Depend on with full trust or confidence.,I know I can rely on your discretion,"The last decade has seen many areas of research (parallel processing, machine learning, visualization, statistical programming languages) maturing into technology, which had made it possible for one person (perhaps an expert in one discipline) to take a project through the stages of data ingestion and manipulation, statistical modeling, and visualization entirely on his or her own",1
EXPLORATORY,39,25,975,Relating to or involving exploration or investigation.,surgeons performed an exploratory operation,The discussions so far were centered on exploratory analysis on a single variable,1
STACK,39,25,975,"Arrange (a number of things) in a pile, typically a neat one.","she stood up, beginning to stack the plates","In the future, machine learning is going to become a part of every engineer’s stack",1
TAUGHT,31,29,899,Impart knowledge to or instruct (someone) as to how to do something.,she taught him to read,I love the simplicity of the data science concepts as taught by the book “Moneyball,1
UNFORTUNATELY,31,28,868,It is unfortunate that.,"unfortunately, we do not have the time to interview every applicant","Unfortunately that doesn’t work, for a really simple reason: it’s extremely common for some subset of those fields to be null, and a null doesn’t join to another null",1
PASSION,29,29,841,Strong and barely controllable emotion.,a man of impetuous passion,I liked how passionate Andrew Ng in teaching us about different types of machine learning algorithms,1
CONSTANTLY,30,28,840,Continuously over a period of time; always.,the world is constantly changing,"The lack of women and traditionally underrepresented racial groups in machine learning, and computer science broadly is a question I think about constantly",1
ANALYZING,30,28,840,"Examine (something) methodically and in detail, typically in order to explain and interpret it.",we need to analyse our results more clearly,"You’ll get up to speed on emerging techniques and technologies by analyzing case studies, develop new technical skills through in-depth workshop, share emerging best practices in Data Science and  future trends",1
OPTIMIZE,30,28,840,"Make the best or most effective use of (a situation, opportunity, or resource)","to optimize viewing conditions, the microscope should be correctly adjusted",Intel’s optimized Python packages deliver quick repeatable results compared to standard Python packages,1
USAGE,31,27,837,The action of using something or the fact of being used.,a survey of water usage,"Apart from this, Class usage can also help us to make the code much more modular and easy to maintain",1
SHAPE,34,24,816,Give a particular shape or form to.,most caves are shaped by the flow of water through limestone,Once we have this SxS matrix with contributions we multiply this matrix by the Value matrix(Sxd) of the sentence and it gives us back a matrix of shape Sxd(4x64),1
PROVE,29,28,812,Demonstrate the truth or existence of (something) by evidence or argument.,the concept is difficult to prove,"To ensure their analytic results will improve business results, analytic teams need to connect the metrics they are focused on to specific decision-making that can be improved with analytics",1
OBVIOUS,29,28,812,"Easily perceived or understood; clear, self-evident, or apparent.",unemployment has been the most obvious cost of the recession,"We viewed these handoffs as the next obvious bottleneck for in-memory processing, and set out to work across a wide range of projects to develop a common set of interfaces that would remove unnecessary serialization and deserialization when marshalling data",1
DRAW,30,27,810,"Produce (a picture or diagram) by making lines and marks, especially with a pen or pencil, on paper.",he drew a map,"In data science or machine learning, we use data for descriptive analytics to draw out meaningful conclusions from the data, or we can use data for predictive purposes to build models that can make predictions on unseen data",1
PREDICTING,29,27,783,Say or estimate that (a specified thing) will happen in the future or will be a consequence of something.,it is too early to predict a result,Data science has already been invaluable in improving the outcomes of epidemics and predicting patient behaviour,1
RECOGNITION,29,27,783,Identification of someone or something or person from previous encounters or knowledge.,she saw him pass by without a sign of recognition,Consider a speech recognition system,1
DISTINCT,30,26,780,Recognizably different in nature from something else of a similar type.,the patterns of spoken language are distinct from those of writing,"There is also this: though machine learning, artificial intelligence, deep learning, computer vision and natural language processing (along with a variety of other applications of these ""intelligent"" technologies) are all separate and distinct fields and application domains, even practitioners and researchers have to admit that there is some continually evolving ""concept creep"" going on any more, beyond the regular ol' confusion and confounding that has always taken place",1
REALIZE,30,26,780,Become fully aware of (something) as a fact; understand clearly.,he realized his mistake at once,I realized how deeply seated some cognitive biases are,1
SCENARIO,31,25,775,"A written outline of a movie, novel, or stage work giving details of the plot and individual scenes.",imagine the scenarios for four short stories,"Notice that in the renting scenario, you’re actually spending more money, but with the same team size, you can generate higher ROI",1
DISCIPLINE,32,24,768,"Train (someone) to obey rules or a code of behavior, using punishment to correct disobedience.",many parents have been afraid to discipline their children,"RCloud supports efficient, secure, client/server connections via the FastRWeb package and an adopted discipline known as the Object-Capabilities (ocap)",1
DEPLOYED,33,23,759,Move (troops or equipment) into position for military action.,forces were deployed at strategic locations,"Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",1
TRANSFORM,30,25,750,"Make a thorough or dramatic change in the form, appearance, or character of.",lasers have transformed cardiac surgery,"There are fairly well-functioning machine learning algorithms, which account for potential phonetic transformations, spelling mistakes and allow for a clustering of those first and surnames",1
SUPERVISED,32,23,736,Observe and direct the execution of (a task or activity),the sergeant left to supervise the loading of the lorries,"Regression is similar to classification, in that it is another dominant form of supervised learning and is useful for predictive analysis",1
GRAPHS,31,23,713,Plot or trace on a graph.,"A frequency ranking of student graphing errors indicates that graphing problems are related to a combination of factors involving the software, the student, and the instruction.","If you are interested in learning about graph representation, or how graphs are utilized in machine learning, data science, or neural networks, this book is likely for you",1
CHARACTERISTICS,28,25,700,"A feature or quality belonging typically to a person, place, or thing and serving to identify them.",certain defining characteristics of the school emerge from the study,"Veracity, one of the most overlooked Big Data characteristics, is directly related to data quality, as it refers to the inherent biases, noise and abnormality in data",1
DISCIPLINES,28,25,700,"Train (someone) to obey rules or a code of behaviour, using punishment to correct disobedience.",many parents have been afraid to discipline their children,"The recent explosion of interest in data science, data mining, and related disciplines has been mirrored by an explosion in book titles on these same topics",1
EXCITING,28,25,700,Causing great enthusiasm and eagerness.,an exciting breakthrough,"History is exciting, especially if we can relate to it",1
FURTHERMORE,30,23,690,In addition; besides (used to introduce a fresh consideration in an argument),"this species has a quiet charm and, furthermore, is an easy garden plant","The data are notoriously noisy, and furthermore tend to go through many stages of preprocessing before the statisticians even get to see them",1
EXPLAINING,27,25,675,Make (an idea or situation) clear to someone by describing it in more detail or revealing relevant facts.,they explained that their lives centred on the religious rituals,"Another thing, that I didn’t mention for the sake of simplicity while explaining the encoder is that the encoder(the decoder architecture too) architecture has skip level residual connections(something akin to resnet50) also",1
STRAIGHTFORWARD,27,25,675,Uncomplicated and easy to do or understand.,in a straightforward case no fees will be charged,"For Julia, the code change will be fairly straightforward",1
ORIENTED,27,25,675,Align or position (something) relative to the points of a compass or other specified positions.,the fires are oriented in direct line with the midsummer sunset,Columnar data structures provide a number of performance advantages over traditional row-oriented data structures for analytics,1
FORGET,27,25,675,Fail to remember.,he had forgotten his lines,Let’s also not forget that people are affected by a wide range of behavioral biases that may invalidate the objectivity of the analysis,1
THEORETICAL,28,24,672,Concerned with or involving the theory of a subject or area of study rather than its practical application.,a theoretical physicist,"In summary, we’ve discussed the essential math and theoretical skills that are needed in data science and machine learning",1
VECTOR,30,22,660,Direct (an aircraft in flight) to a desired point.,two Hurricanes were vectored towards the Stukas,"In any event, this type of question tests your understanding of matrix computation and how to deal with vectors and matrices",1
HAVEN,26,25,650,A place of safety or refuge.,a haven for wildlife,I haven’t read all of Hinton’s papers,1
AUDIENCE,26,25,650,"The assembled spectators or listeners at a public event, such as a play, movie, concert, or meeting.",the orchestra was given an enthusiastic ovation from the audience,You may be a shy person and avoid public speeches or giving presentations in front of a huge audience,1
EVENTUALLY,26,25,650,"In the end, especially after a long delay, dispute, or series of problems.","eventually, after midnight, I arrived at the hotel","Treating Data Science projects with a Defined Beginning and Outcome could be a blunder as before an Organization reaches stability in its Analytics and Data Science paradigm, it will go through an extensive period (couple of years at-least or even more) of trial and error phase of what works and what does not, what data is relevant, what model performs and what model needs to be deployed eventually that produces a useful business metric that generates an incremental impact",1
INFERENCE,30,21,630,A conclusion reached on the basis of evidence and reasoning.,researchers are entrusted with drawing inferences from the data,"The Bayesian method is the natural approach to inference, yet it is hidden from readers behind chapters of slow, mathematical analysis",1
PREFER,25,25,625,Like (one thing or person) better than another or others; tend to choose.,I prefer Venice to Rome,"As a conclusion, loss of jobs, as stated by many, will not yet be the main socio-political consequence of AI as humans still prefer to keep control of their tasks until a trained algorithm will perform that task with almost-zero errors and definitely cheaper",1
TUNING,26,24,624,The action or process of tuning something.,an electronic instrument requires no tuning,"Therefore, the key task of the secondary modeling step is parameter tuning",1
INTUITION,26,24,624,"The ability to understand something immediately, without the need for conscious reasoning.",we shall allow our intuition to guide us,This phase entails digging deep to get a feel of the data and extract intuitions for feature engineering,1
LOGISTIC,27,23,621,Relating to logistics.,logistic problems,I was trying to learn neural networks before I could comprehend what kind of problems logistic regression fits better than linear regression,1
CONFIDENCE,27,23,621,The feeling or belief that one can rely on someone or something; firm trust.,we had every confidence in the staff,"To take advantage of Snorkel’s full functionality, we used the ‘Label Model’ to generate a single confidence-weighted label given a matrix of predictions obtained from all the labelling functions (i",1
EFFICIENCY,28,22,616,The state or quality of being efficient.,greater energy efficiency,"Once a year (or more often if that works better for you), take stock of your overall effectiveness and efficiency, and determine where you could improve",1
SPLIT,29,21,609,"Break or cause to break forcibly into parts, especially into halves or along the grain.",the ice cracked and heaved and split,Split a large string into valid words and store them in a dictionary,1
PASSIONATE,25,24,600,Showing or caused by strong feelings or a strong belief.,passionate pleas for help,I liked how passionate Andrew Ng in teaching us about different types of machine learning algorithms,1
EXTRACT,25,24,600,"Remove or take out, especially by effort or force.",the decayed tooth will have to be extracted,Every organization has numerous data sources and hence several hypothesis around the same that need to be prioritized in the order of incremental business value we can extract out of them and also according to the quality of data available,1
ROBUST,26,23,598,Strong and healthy; vigorous.,"the Caplans are a robust, healthy lot","It’s a platform-independent, useful, and robust language",1
CONCLUSIONS,26,23,598,"The end or finish of an event, process, or text.",the conclusion of World War Two,"In data science or machine learning, we use data for descriptive analytics to draw out meaningful conclusions from the data, or we can use data for predictive purposes to build models that can make predictions on unseen data",1
DEPLOY,27,22,594,Move (troops or equipment) into position for military action.,forces were deployed at strategic locations,"The process of accelerating the data analysis insights by reducing the time between coding and deployment, now called DevOps, has become more relevant with the emerging role of data science teams in large organizations",1
UNSUPERVISED,27,22,594,Not done or acting under supervision.,unsupervised visits,We do not expect unsupervised learning to come back in the near future,1
CAPABLE,27,22,594,"Having the ability, fitness, or quality necessary to do or achieve a specified thing.",I'm quite capable of taking care of myself,"This project should show that you’re capable of building a system that can perform the same analysis on new data sets as they’re input, as well as capable of building a system that can be understood and run with relative ease by others",1
STARTUP,28,21,588,The action or process of setting something in motion.,the start-up of marketing in Europe,"When we talk about innovative services or products, many startups follow a smoother model of development",1
SCRATCH,25,23,575,Score or mark the surface of (something) with a sharp or pointed object.,the car's paintwork was battered and scratched,Munge data? Run some analysis? Whip up a classifier using libraries? Implement some neural nets from scratch? Build and scale a production-ready system? Python can really do all of this,1
SOPHISTICATED,25,23,575,"Having, revealing, or proceeding from a great deal of worldly experience and knowledge of fashion and culture.","a chic, sophisticated woman","I have not mentioned UX (User Experience) or CX (Customer Experience), which are related to marketing and have benefited from having more data, richer data and more sophisticated analytics tools",1
OBVIOUSLY,25,23,575,In a way that is easily perceived or understood; clearly.,she was obviously sick,"Long tails: the bane of inventory and catalogue optimization; what if we got rid of them? There are obviously items we need to keep to satisfy our niche customers, but overall, we should take a deep look at what we keep in stock",1
SOMEWHAT,26,22,572,To a moderate extent or by a moderate amount.,matters have improved somewhat since then,But let’s for the moment assume that you have a somewhat right dataset,1
LOOP,26,22,572,Form (something) into a loop or loops; encircle.,she looped her arms around his neck,"This doesn’t close the analytic loop, but it ensures that the focus of the data scientist is to discover insights that can improve the impact of the underlying decision",1
SHOWCASE,28,20,560,Exhibit; display.,the albums showcase his production skills,Some initiatives are only undertaken to showcase involvement with data rather than the actual need,1
NECESSARILY,24,23,552,As a necessary result; inevitably.,the prognosis can necessarily be only an educated guess,This exponential growth in data causes high sparsity in the data set and unnecessarily increases storage space and processing time for the particular modelling algorithm,1
